vehID,FU,FUwithStop,travelTime,stopTimes
1,172.761993,219.617401,313.800000,1.0
3,173.148291,220.003699,314.000000,1.0
4,172.919161,219.774569,314.100000,1.0
5,174.307752,174.307752,312.800000,0.0
6,174.541528,174.541528,316.000000,0.0
7,171.813533,171.813533,306.400000,0.0
8,171.531802,171.531802,306.000000,0.0
9,172.693391,219.548799,313.700000,1.0
10,173.060143,219.915551,313.900000,1.0
11,174.264341,221.119749,317.700000,1.0
13,175.297008,175.297008,315.500000,0.0
14,176.657270,176.657270,319.000000,0.0
15,177.982416,177.982416,322.000000,0.0
16,175.488543,175.488543,316.400000,0.0
17,175.380133,175.380133,316.700000,0.0
18,177.768723,177.768723,322.800000,0.0
19,176.716550,176.716550,320.300000,0.0
20,172.782571,219.637979,313.600000,1.0
21,172.736800,219.592208,313.700000,1.0
23,174.376136,221.231544,318.000000,1.0
24,175.260339,175.260339,315.400000,0.0
25,175.322192,175.322192,315.500000,0.0
26,176.900743,176.900743,319.100000,0.0
27,177.867443,177.867443,322.200000,0.0
28,173.037996,173.037996,310.900000,0.0
29,174.145194,174.145194,313.600000,0.0
30,173.927256,173.927256,313.100000,0.0
31,172.727336,219.582744,313.600000,1.0
33,172.852988,219.708396,313.700000,1.0
34,174.116013,220.971421,317.700000,1.0
35,176.626736,176.626736,318.700000,0.0
36,175.575496,175.575496,316.200000,0.0
37,175.267634,175.267634,315.400000,0.0
38,177.654919,177.654919,321.800000,0.0
39,177.491412,177.491412,322.400000,0.0
40,175.596282,175.596282,317.300000,0.0
41,175.299941,175.299941,316.700000,0.0
43,174.338699,221.194107,317.500000,1.0
44,174.264610,174.264610,314.800000,0.0
45,172.671102,219.526510,313.700000,1.0
46,172.811074,219.666482,313.800000,1.0
47,177.528799,177.528799,321.500000,0.0
48,172.589148,219.444556,313.800000,1.0
49,175.467976,175.467976,315.500000,0.0
50,176.645468,176.645468,318.600000,0.0
51,177.474838,177.474838,322.300000,0.0
53,174.311092,174.311092,313.900000,0.0
54,175.192675,175.192675,316.700000,0.0
55,173.020405,219.875813,313.600000,1.0
56,173.825417,173.825417,314.700000,0.0
57,172.692371,219.547779,313.700000,1.0
58,174.118813,220.974221,317.700000,1.0
59,176.498938,176.498938,318.600000,0.0
60,172.778777,219.634185,313.600000,1.0
61,175.496462,175.496462,315.600000,0.0
63,177.090875,177.090875,321.300000,0.0
64,172.488452,219.343860,313.600000,1.0
65,172.939880,219.795288,313.900000,1.0
66,172.920294,219.775702,313.900000,1.0
67,174.097638,220.953045,317.700000,1.0
