统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,100002,169,168,大客车,10.34,102.80,102.79,0.00,994.83,3600.00
1,100005,159,158,小客车,4.67,123.50,120.00,0.00,997.66,3600.00
1,100010,172,170,小客车,4.46,119.30,102.40,0.01,65.76,2.31
1,100014,175,172,小客车,4.11,112.10,104.17,0.10,89.42,3.09
1,100018,178,174,小客车,4.30,116.00,105.82,0.08,82.02,2.79
1,100022,191,187,大客车,10.26,102.15,102.02,0.02,994.87,3600.00
1,100025,193,189,小客车,4.66,123.20,101.21,0.02,62.51,2.22
1,100026,181,176,小客车,4.46,119.30,107.45,0.09,79.31,2.66
1,100028,227,222,货车,10.18,75.45,75.45,0.00,994.91,3600.00
1,100030,184,178,小客车,4.96,129.10,110.04,0.10,88.90,2.91
1,100032,202,196,大客车,9.78,98.20,98.13,0.01,995.11,3600.00
1,100035,233,226,小客车,4.67,123.30,91.81,0.00,48.65,1.91
1,100039,235,228,小客车,4.49,119.70,93.71,0.00,53.38,2.05
1,100042,206,198,大客车,10.05,100.45,96.28,0.01,105.07,3.93
1,100043,246,238,货车,10.04,75.10,71.28,0.17,70.60,3.57
1,100045,231,223,小客车,4.82,126.40,97.58,0.00,70.12,2.59
1,100046,208,200,小客车,4.53,120.50,96.11,0.08,53.85,2.02
1,100049,242,232,小客车,4.93,128.70,57.34,2.22,28.71,1.80
1,100050,210,201,小客车,4.58,121.70,96.33,0.06,55.04,2.06
1,100051,249,240,小客车,4.97,129.40,86.41,0.00,51.78,2.16
1,100057,253,243,货车,11.68,79.20,70.38,0.23,46.09,2.36
1,100058,240,230,小客车,4.29,115.70,66.11,1.19,30.92,1.68
1,100062,239,227,大客车,9.83,98.60,62.68,2.01,41.39,2.38
1,100065,258,246,小客车,4.72,124.40,61.11,0.00,26.40,1.56
1,100066,237,225,小客车,4.64,122.80,83.15,0.00,37.14,1.61
1,100068,251,239,小客车,4.54,120.80,79.56,0.22,38.48,1.74
1,100072,256,242,大客车,10.47,103.90,69.50,0.26,35.09,1.82
1,100077,268,254,货车,11.32,78.30,53.36,0.00,15.34,1.04
1,100079,269,255,小客车,4.33,116.50,42.88,0.34,19.04,1.60
1,100080,259,245,小客车,4.04,110.90,67.10,1.27,31.70,1.70
1,100084,262,246,小客车,4.73,124.60,45.01,0.84,20.39,1.63
1,100085,271,255,小客车,4.81,126.20,42.65,1.16,20.36,1.72
1,100088,264,248,小客车,4.18,113.70,50.38,0.32,23.25,1.66
1,100091,288,273,小客车,4.86,127.10,92.24,0.00,51.32,2.00
1,100092,260,245,小客车,4.89,127.90,53.54,0.00,8.57,0.58
1,100102,278,260,大客车,10.59,104.90,60.31,0.00,30.06,1.79
1,100104,266,247,小客车,4.33,116.50,55.15,0.00,25.98,1.70
1,100106,275,256,小客车,4.75,125.00,54.85,0.27,25.66,1.68
1,100108,274,254,小客车,4.12,112.30,53.45,0.15,25.24,1.70
1,100110,280,260,小客车,4.29,115.90,60.26,0.14,27.92,1.67
1,100113,293,273,货车,12.36,80.90,58.06,0.00,29.98,1.86
1,100114,282,261,小客车,4.75,125.10,56.45,0.80,26.80,1.71
1,100117,300,279,货车,13.50,83.75,67.46,0.00,41.31,2.20
1,100118,286,266,小客车,4.44,118.80,94.45,0.00,75.81,2.89
1,100132,290,268,大客车,9.45,95.40,64.53,0.01,15.92,1.78
1,100134,295,272,小客车,4.62,122.30,64.94,0.00,31.51,1.75
1,100136,290,267,小客车,4.67,123.30,72.87,0.00,28.99,1.43
1,100138,297,273,小客车,4.72,124.50,69.01,0.00,33.72,1.76
2,100107,302,283,货车,10.34,75.85,63.21,0.00,38.49,2.19
2,100123,314,292,货车,10.80,77.00,66.54,0.00,68.27,3.69
2,100139,319,294,小客车,4.40,118.00,70.78,0.00,33.91,1.73
2,100141,317,293,小客车,4.16,113.20,79.98,0.00,50.04,2.25
2,100142,307,282,大客车,9.73,97.75,60.88,0.00,30.37,1.80
2,100147,339,311,货车,10.66,76.65,24.38,0.00,11.47,1.69
2,100152,305,278,大客车,9.68,97.35,64.15,0.00,32.77,1.84
2,100155,330,303,小客车,4.22,114.40,30.38,0.00,1.16,0.14
2,100163,347,318,货车,13.50,83.75,41.24,0.00,21.23,1.85
2,100165,335,305,小客车,4.71,124.30,31.15,0.26,14.90,1.72
2,100166,323,294,小客车,4.99,129.70,65.44,0.00,32.70,1.80
2,100167,354,325,货车,11.02,77.55,49.65,0.56,25.17,1.83
2,100170,333,305,小客车,4.54,120.90,31.60,0.01,5.33,1.21
2,100172,321,291,大客车,9.85,98.75,62.29,0.00,30.45,1.76
2,100174,333,303,小客车,4.33,116.60,58.10,0.00,8.55,0.53
2,100175,357,326,小客车,4.26,115.20,36.01,0.00,16.65,1.66
2,100179,361,329,小客车,4.79,125.70,40.87,0.47,19.45,1.71
2,100183,355,325,小客车,4.13,112.70,72.66,0.01,18.66,1.85
2,100186,352,319,小客车,4.84,126.80,47.80,0.75,22.69,1.71
2,100188,332,299,小客车,4.19,113.80,69.86,2.96,104.28,5.37
2,100191,367,336,小客车,4.46,119.20,0.00,0.01,0.25,3600.00
2,100192,342,306,大客车,10.02,100.20,28.02,0.64,14.05,1.80
2,100196,345,310,小客车,4.12,112.40,40.48,0.00,19.15,1.70
2,100197,367,333,货车,12.86,82.15,66.86,0.18,39.69,2.14
2,100199,370,334,小客车,4.99,129.80,22.41,0.34,11.71,1.88
2,100200,337,303,小客车,4.75,125.10,64.90,0.00,12.23,0.68
2,100202,350,314,大客车,10.05,100.40,44.59,0.86,21.37,1.73
2,100205,377,342,小客车,4.78,125.60,56.86,0.67,26.94,1.71
2,100207,375,339,货车,10.28,75.70,52.32,2.60,49.19,3.38
2,100219,381,343,小客车,4.79,125.70,56.19,0.00,26.62,1.71
2,100223,388,349,大客车,9.84,98.65,54.93,0.08,26.63,1.75
2,100224,384,345,货车,12.78,81.95,55.18,0.01,29.21,1.91
2,100228,359,319,小客车,4.70,123.90,38.23,0.10,18.22,1.72
2,100230,364,325,小客车,4.53,120.60,70.54,0.05,39.28,2.00
2,100236,373,331,小客车,5.00,129.90,41.56,3.18,19.04,1.65
2,100243,404,362,货车,10.22,75.55,51.83,0.00,27.13,1.88
2,100244,368,327,小客车,4.41,118.10,50.12,0.00,2.18,0.16
2,100246,379,336,小客车,4.93,128.70,52.85,0.46,24.78,1.69
2,100247,411,369,货车,13.58,83.95,64.36,0.00,48.62,2.72
2,100254,390,346,小客车,4.66,123.20,54.91,0.07,25.62,1.68
2,100255,421,377,小客车,4.50,120.00,57.00,1.24,27.10,1.71
2,100258,396,352,小客车,4.68,123.60,62.75,0.00,29.91,1.72
2,100264,386,340,小客车,4.92,128.40,54.98,0.06,25.89,1.70
2,100266,392,347,小客车,4.01,110.30,60.29,0.00,28.83,1.72
2,100267,433,388,货车,11.08,77.70,68.98,0.00,55.47,2.89
2,100269,417,371,小客车,4.38,117.60,55.79,2.07,18.33,1.18
2,100270,394,348,小客车,4.91,128.20,60.90,0.00,28.97,1.71
2,100274,398,351,小客车,4.32,116.40,62.67,0.00,28.63,1.64
2,100275,419,372,小客车,4.94,128.80,63.11,1.17,41.82,2.39
2,100278,401,355,小客车,4.48,119.60,57.46,0.01,11.61,1.46
2,100279,435,388,小客车,4.37,117.40,68.19,0.00,32.26,1.70
2,100281,416,369,小客车,4.69,123.80,58.71,0.01,13.73,1.68
2,100282,406,358,大客车,10.40,103.30,54.83,0.00,26.79,1.76
2,100285,427,379,小客车,4.86,127.10,81.03,0.59,66.49,2.95
2,100286,413,364,小客车,4.21,114.30,58.33,1.38,26.50,1.64
2,100290,401,352,小客车,4.08,111.60,60.76,0.00,19.55,1.16
2,100291,423,375,小客车,4.82,126.40,59.88,1.39,32.19,1.93
2,100293,430,380,货车,13.46,83.65,67.87,0.14,39.09,2.07
2,100297,438,387,货车,11.00,77.50,63.13,0.09,36.82,2.10
2,100298,415,364,小客车,4.21,114.20,50.49,3.28,50.49,3.60
3,100305,807,153,小客车,5.00,129.90,119.88,0.02,997.50,3600.00
3,100310,814,157,小客车,4.45,119.00,118.84,0.02,997.78,3600.00
3,100311,820,161,小客车,4.80,126.10,118.10,0.25,997.60,3600.00
3,100314,860,199,货车,11.12,77.80,77.80,0.00,994.44,3600.00
3,100318,862,198,小客车,4.04,110.70,77.80,0.00,39.13,1.81
3,100323,877,209,货车,12.00,80.00,78.29,0.03,86.89,4.00
3,100326,864,194,小客车,4.20,113.90,77.80,0.00,38.62,1.79
3,100329,868,196,小客车,4.43,118.60,77.82,0.03,38.07,1.76
3,100330,866,193,小客车,4.55,121.10,77.80,0.00,37.98,1.76
3,100342,880,198,大客车,9.53,96.10,45.00,0.00,8.11,0.65
3,100343,890,207,货车,12.72,81.80,67.92,0.75,35.57,1.89
3,100344,871,187,小客车,4.53,120.60,92.71,0.00,57.63,2.24
3,100345,888,204,小客车,4.08,111.70,83.29,0.11,43.46,1.88
3,100346,879,194,小客车,4.30,116.10,78.11,0.00,37.92,1.75
3,100347,898,212,货车,12.16,80.40,59.88,0.65,32.54,1.96
3,100349,892,204,小客车,4.24,114.80,66.47,0.66,31.24,1.69
3,100350,884,197,小客车,4.96,129.20,68.01,2.75,55.15,2.92
3,100352,873,184,小客车,4.74,124.70,98.57,0.00,63.88,2.33
3,100353,894,203,大客车,9.44,95.35,65.15,0.61,32.57,1.80
3,100358,900,206,小客车,4.03,110.50,61.62,0.37,28.76,1.68
3,100360,886,190,小客车,4.62,122.30,83.31,0.31,44.55,1.92
3,100372,896,191,大客车,10.19,101.55,61.69,1.05,30.64,1.79
4,100363,911,213,货车,11.48,78.70,75.05,0.00,79.32,3.80
4,100366,902,202,小客车,4.58,121.70,62.01,0.31,28.99,1.68
4,100374,905,199,小客车,4.75,124.90,85.16,0.00,52.51,2.22
4,100378,907,198,小客车,4.61,122.20,80.53,0.00,39.52,1.77
4,100381,913,202,小客车,4.43,118.60,77.48,0.00,38.55,1.79
4,100382,920,207,大客车,10.60,105.00,71.21,0.44,35.29,1.78
4,100385,918,203,小客车,4.23,114.60,76.46,0.00,38.07,1.79
4,100391,923,204,小客车,4.86,127.10,88.66,0.00,53.29,2.16
4,100392,916,196,大客车,9.99,99.90,74.19,0.08,39.10,1.90
